player,player_id,mu,sigma,form,tss_ott,tss_app,tss_arg,tss_putt,TalentScore,Tier,Overall2K,Driving2K,Approach2K,ShortGame2K,Putting2K,Consistency2K,DogFactor2K
Jake Knapp,47420,0.108,0.24623092142675068,0.108,0.248,0.003,-0.089,0.456,0.108,A,80,90,80,75,88,89,89
Rickie Fowler,32102,0.10435,0.14370890717001505,0.10435,0.285,0.042,-0.057,0.085,0.10435,A,80,90,81,76,81,95,93
Cameron Young,57366,0.09855,0.35038883163327755,0.09855,0.317,-0.124,-0.033,0.642,0.09855,B,80,91,79,77,92,84,86
Jhonattan Vegas,27064,0.09030000000000002,0.24166005738088644,0.09030000000000002,0.262,0.123,-0.101,-0.285,0.09030000000000002,B,80,90,82,75,74,89,89
Joel Dahmen,34076,0.08960000000000001,0.20931694468755588,0.08960000000000001,0.188,0.163,-0.107,-0.241,0.08960000000000001,B,80,89,83,75,75,91,90
Harris English,34099,0.08875,0.22649705664018388,0.08875,0.26,-0.07,0.003,0.418,0.08875,B,80,90,79,78,88,90,90
Sam Burns,47504,0.08689999999999999,0.5010730984596958,0.08689999999999999,0.146,-0.118,-0.014,0.983,0.08689999999999999,B,80,88,79,78,99,75,81
Denny McCarthy,47993,0.07750000000000001,0.3999928124354237,0.07750000000000001,-0.258,0.202,-0.026,0.679,0.07750000000000001,B,80,81,83,78,93,81,85
Matt Wallace,48887,0.069,0.2704334483750115,0.069,-0.163,0.093,0.483,0.036,0.069,B,79,83,82,95,80,88,88
Garrick Higgo,54421,0.06895,0.3291426995494001,0.06895,0.127,-0.114,0.107,0.661,0.06895,B,79,88,79,82,93,85,86
Aldrich Potgieter,63343,0.06604999999999997,0.403368627932317,0.06604999999999997,0.572,-0.137,-0.37,0.116,0.06604999999999997,B,79,95,78,66,82,81,84
Jackson Suber,60019,0.06230000000000001,0.1947688801289022,0.06230000000000001,-0.136,0.27,-0.146,0.035,0.06230000000000001,B,79,83,84,73,80,92,90
Seamus Power,28252,0.05714999999999999,0.14263794492817589,0.05714999999999999,0.057,0.107,0.08,-0.201,0.05714999999999999,B,79,86,82,81,75,95,92
Matt McCarty,59141,0.05385,0.21183484132691677,0.05385,0.09,-0.055,0.054,0.435,0.05385,B,79,87,80,80,88,91,89
Stephan Jaeger,36799,0.053750000000000006,0.3102626575446466,0.053750000000000006,-0.371,0.22,0.273,0.251,0.053750000000000006,B,79,79,84,88,84,86,87
Chan Kim,34587,0.052800000000000014,0.26583375130583653,0.052800000000000014,-0.195,0.269,0.131,-0.294,0.052800000000000014,B,79,82,84,83,73,88,88
Niklas Norgaard,35706,0.052750000000000005,0.47291956680461705,0.052750000000000005,0.626,-0.177,-0.476,0.16,0.052750000000000005,B,79,96,78,62,83,77,82
Brian Harman,27644,0.050550000000000005,0.062130910181647916,0.050550000000000005,-0.015,0.069,0.134,0.039,0.050550000000000005,B,79,85,81,83,80,99,94
Matti Schmid,48867,0.04615000000000001,0.2513622883409522,0.04615000000000001,0.113,0.059,-0.298,0.304,0.04615000000000001,B,79,87,81,68,85,89,88
Mark Hubbard,36801,0.04415000000000001,0.10594456097412458,0.04415000000000001,-0.02,0.091,-0.056,0.176,0.04415000000000001,B,79,85,82,76,83,97,93
Justin Rose,22405,0.04185,0.22659416732711074,0.04185,-0.254,0.25,-0.067,0.156,0.04185,B,79,81,84,76,82,90,89
Matt Kuchar,23108,0.04075,0.2758991361590923,0.04075,-0.263,0.098,0.257,0.37,0.04075,B,79,81,82,87,87,88,88
Andrew Novak,51997,0.039850000000000003,0.10793014716318451,0.039850000000000003,0.042,-0.036,0.155,0.202,0.039850000000000003,B,79,86,80,84,83,97,93
David Skinns,27139,0.03964999999999998,0.23784168403933456,0.03964999999999998,-0.21,0.291,-0.044,-0.217,0.03964999999999998,B,79,82,85,77,75,90,89
