hole,par,hole_type,player_name,expected_sg_vs_field_per_round
2,5,reachable_par5_risky,Sam Burns,-0.24374751505852488
2,5,reachable_par5_risky,Denny McCarthy,-0.32504824053848147
2,5,reachable_par5_risky,Matt Wallace,-0.08774851347655273
2,5,reachable_par5_risky,Garrick Higgo,-0.11783095202275316
3,4,short_par4,Scottie Scheffler,0.592422859654944
3,4,short_par4,Tommy Fleetwood,0.35067865349151267
3,4,short_par4,Collin Morikawa,0.04368155237599532
3,4,short_par4,J.J. Spaun,0.17337072515432173
3,4,short_par4,Viktor Hovland,0.026245120734805637
3,4,short_par4,Rico Hoey,-0.21404132828270855
3,4,short_par4,Sepp Straka,0.13091605527054578
3,4,short_par4,Russell Henley,0.2718538195421936
3,4,short_par4,Patrick Cantlay,0.1772697702798507
3,4,short_par4,Shane Lowry,0.04075451706254645
3,4,short_par4,Rory McIlroy,0.21584270320250057
3,4,short_par4,Kurt Kitayama,0.07701744270019632
3,4,short_par4,Ben Griffin,0.2340609456986186
3,4,short_par4,Aaron Rai,0.0931194796359831
3,4,short_par4,Si Woo Kim,0.049373078890102076
3,4,short_par4,Nicolai Højgaard,-0.00572925068941873
3,4,short_par4,Kevin Yu,0.030722047307501835
3,4,short_par4,Ben Kohles,-0.11685999240706144
3,4,short_par4,Daniel Berger,-0.031521609712599506
3,4,short_par4,Keegan Bradley,0.16243011683319683
3,4,short_par4,Doug Ghim,-0.18417036946749954
3,4,short_par4,Xander Schauffele,-0.015548730856705899
3,4,short_par4,Akshay Bhatia,-0.019740898303731914
3,4,short_par4,Robert MacIntyre,0.1760939106772187
3,4,short_par4,Pierceson Coody,-0.04318373295835208
3,4,short_par4,Corey Conners,0.03598145537294351
3,4,short_par4,Lee Hodges,0.07367428195682013
3,4,short_par4,Jordan Spieth,0.19110667520977426
3,4,short_par4,Justin Thomas,0.18276797206710915
3,4,short_par4,Lucas Glover,-0.03012141121852986
3,4,short_par4,Hideki Matsuyama,0.04565382965518082
3,4,short_par4,Victor Perez,-0.01827430695824394
3,4,short_par4,Ryan Gerard,-0.05202248796679247
3,4,short_par4,Bud Cauley,0.08208123861021324
3,4,short_par4,Nick Taylor,0.06889171997427126
3,4,short_par4,Taylor Pendrith,0.011334485373088322
3,4,short_par4,Keith Mitchell,-0.045865967276722
3,4,short_par4,Maverick McNealy,0.05010949037346977
3,4,short_par4,Michael Kim,0.06614960550139362
3,4,short_par4,Chris Kirk,-0.03293348368014098
3,4,short_par4,Thorbjørn Olesen,0.09385069198783579
3,4,short_par4,Gary Woodland,-0.12010900359491007
3,4,short_par4,Steven Fisk,-0.09070836674707111
3,4,short_par4,Michael Thorbjornsen,-0.11066313365902541
3,4,short_par4,Joseph Bramlett,-0.213828674394594
3,4,short_par4,Alex Smalley,0.058383300601133184
3,4,short_par4,Emiliano Grillo,-0.04404676547033068
3,4,short_par4,Adam Scott,0.0048314842682586215
3,4,short_par4,Sami Valimaki,-0.10824249818987947
3,4,short_par4,Thomas Rosenmueller,-0.3087412232371639
3,4,short_par4,Davis Thompson,-0.054537474536199476
3,4,short_par4,Chris Gotterup,-0.028239361862597227
3,4,short_par4,Ludvig Åberg,-0.04802284574913348
3,4,short_par4,Greyson Sigg,-0.13169370574772293
3,4,short_par4,Henrik Norlander,-0.23781647570122152
