player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Adam Svensson,0.01,0.405,0.012,-0.25,0.24,0.26,-0.58,78,C,81,84,87,68,81,83,-3.5895145905076182,-0.3230563131456856,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Trevor Cone,-0.04,0.263,-0.039,0.28,-0.15,-0.13,-0.35,77,C,90,78,74,72,88,86,-3.591787170662851,-0.3232608453596566,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Cam Davis,-0.21,0.141,-0.212,-0.35,-0.2,-0.12,-0.01,73,D,79,78,74,79,95,87,-3.7206258139372377,-0.3348563232543514,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Joe Highsmith,-0.22,0.125,-0.222,-0.1,-0.36,-0.12,-0.12,73,D,84,75,74,77,96,87,-3.913325824808931,-0.35219932423280376,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Niklas Norgaard,0.05,0.473,0.053,0.63,-0.18,-0.48,0.16,79,B,96,78,62,83,77,82,-3.9726414755104975,-0.35753773279594475,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Harry Higgs,-0.12,0.192,-0.121,0.05,-0.18,-0.37,0.0,75,D,86,78,66,79,92,87,-3.9757986826111047,-0.35782188143499943,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Luke List,-0.09,0.315,-0.092,0.37,-0.37,-0.14,-0.16,76,C,92,75,74,76,85,84,-4.060978984122171,-0.36548810857099534,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Alejandro Tosti,-0.0,0.409,-0.0,0.35,-0.16,0.17,-0.58,78,C,91,78,84,68,80,82,-4.066111216648871,-0.36595000949839834,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Will Gordon,-0.08,0.197,-0.079,0.08,-0.07,-0.22,-0.38,76,C,87,79,71,72,92,87,-4.161256194927631,-0.3745130575434868,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Adam Hadwin,-0.25,0.218,-0.251,-0.15,-0.46,-0.05,0.05,72,D,83,74,77,80,91,84,-4.409830362957075,-0.3968847326661368,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Tom Hoge,-0.06,0.382,-0.057,-0.61,0.31,-0.01,-0.12,76,C,75,85,78,77,82,82,-4.534100949460387,-0.40806908545143483,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Rico Hoey,0.4,0.779,0.4,0.68,0.67,-0.04,-0.97,87,S,97,90,77,60,60,79,-4.8708073874911815,-0.43837266487420634,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Karl Vilips,-0.13,0.194,-0.13,-0.28,0.04,-0.15,-0.41,75,D,80,81,73,71,92,87,-5.124025574083625,-0.4611623016675262,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Matteo Manassero,-0.08,0.686,-0.078,-0.98,0.27,0.61,0.01,76,C,68,84,99,80,65,72,-5.337960136443652,-0.48041641227992865,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
John Pak,-0.05,0.332,-0.047,-0.28,0.21,-0.02,-0.55,77,C,80,83,78,68,85,84,-5.507820990424072,-0.4957038891381665,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Davis Riley,-0.29,0.389,-0.287,-0.46,-0.46,0.27,0.16,71,D,78,74,87,82,81,77,-5.614016735090919,-0.5052615061581827,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
