player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Adam Scott,0.18,0.192,0.175,0.35,0.17,0.03,-0.1,82,B,91,83,79,77,92,93,3.418400549972831,0.3418400549972831,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Cameron Young,0.1,0.35,0.099,0.32,-0.12,-0.03,0.64,80,B,91,79,77,92,84,86,3.404002140092421,0.34040021400924214,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Taylor Pendrith,0.22,0.259,0.218,0.54,0.13,-0.03,0.03,83,A,95,82,77,80,88,91,3.2816960235211825,0.3281696023521183,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Shane Lowry,0.36,0.392,0.363,0.08,0.76,0.04,-0.12,86,A,87,91,80,77,81,90,3.1801524486690944,0.31801524486690946,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Rickie Fowler,0.1,0.144,0.104,0.28,0.04,-0.06,0.08,80,B,90,81,76,81,95,93,3.1081606618464126,0.3108160661846413,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Mark Hubbard,0.04,0.106,0.044,-0.02,0.09,-0.06,0.18,79,B,85,82,76,83,97,93,3.073493541625676,0.3073493541625676,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Jake Knapp,0.11,0.246,0.108,0.25,0.0,-0.09,0.46,80,B,90,80,75,88,89,89,3.064979022681359,0.30649790226813595,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Patrick Rodgers,-0.0,0.115,-0.002,0.12,-0.13,0.11,0.04,78,C,87,79,82,80,96,91,2.958777060432895,0.2958777060432895,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Ryo Hisatsune,0.11,0.175,0.112,0.14,0.15,0.14,-0.2,80,B,88,83,83,75,93,91,2.8633750169303873,0.28633750169303873,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Sam Stevens,0.01,0.237,0.011,0.3,-0.25,0.18,0.06,78,C,91,77,85,81,90,88,2.775260938580488,0.2775260938580488,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Wyndham Clark,-0.04,0.246,-0.042,0.09,-0.28,0.3,0.14,77,C,87,76,88,82,89,87,2.764732308160283,0.2764732308160283,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Sam Burns,0.09,0.501,0.087,0.15,-0.12,-0.01,0.98,80,B,88,79,78,99,75,81,2.741446133826189,0.2741446133826189,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Christiaan Bezuidenhout,-0.03,0.373,-0.028,-0.38,-0.01,0.31,0.46,77,C,79,80,89,89,82,83,2.673087193372132,0.2673087193372132,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Jacob Bridgeman,-0.02,0.23,-0.023,-0.09,-0.11,0.1,0.39,77,C,84,79,82,87,90,87,2.6421559079218198,0.264215590792182,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Chris Gotterup,0.17,0.28,0.169,0.57,-0.01,0.03,0.0,82,B,95,80,79,79,87,90,2.6227846019692906,0.2622784601969291,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Kevin Yu,0.3,0.336,0.304,0.62,0.31,-0.14,0.01,85,A,96,85,73,80,84,91,2.597217287797062,0.2597217287797062,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Takumi Kanaya,-0.06,0.345,-0.057,0.14,-0.4,0.32,0.33,76,C,88,75,89,86,84,83,2.4609615157078424,0.24609615157078424,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Chris Kirk,0.2,0.285,0.199,0.12,0.39,0.12,-0.3,83,B,87,86,83,73,87,91,2.1484092741855907,0.2148409274185591,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Denny McCarthy,0.08,0.4,0.078,-0.26,0.2,-0.03,0.68,80,B,81,83,78,93,81,85,2.1445082819053467,0.21445082819053468,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Andrew Putnam,0.04,0.549,0.036,-0.69,0.29,0.46,0.44,79,C,73,85,94,88,73,79,2.136138456583092,0.2136138456583092,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Lucas Glover,0.23,0.319,0.234,0.12,0.46,0.16,-0.32,83,A,87,87,84,73,85,89,2.132127220388951,0.21321272203889513,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Victor Perez,0.23,0.288,0.232,0.09,0.48,-0.22,0.22,83,A,87,87,71,84,87,91,2.0807622970591284,0.20807622970591286,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Tom Kim,0.03,0.195,0.026,-0.2,0.15,0.2,-0.1,78,C,82,83,85,77,92,89,2.05530961660313,0.20553096166031304,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Taylor Moore,-0.01,0.243,-0.013,0.15,-0.21,0.32,-0.12,77,C,88,77,89,77,89,87,1.963054374971421,0.19630543749714213,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Seamus Power,0.06,0.143,0.057,0.06,0.11,0.08,-0.2,79,B,86,82,81,75,95,92,1.92665159649392,0.19266515964939201,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Xander Schauffele,0.26,0.328,0.262,0.08,0.58,-0.02,-0.18,84,A,87,89,78,76,85,90,1.83912978622781,0.183912978622781,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Akshay Bhatia,0.26,0.348,0.258,0.02,0.57,-0.24,0.28,84,A,86,89,70,85,84,90,1.7843590320961682,0.17843590320961683,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Jesper Svensson,0.12,0.306,0.117,0.55,-0.13,0.09,-0.06,81,B,95,79,81,78,86,88,1.771847349461859,0.17718473494618592,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Mackenzie Hughes,-0.08,0.24,-0.085,-0.2,-0.17,0.31,0.07,76,C,82,78,89,81,89,86,1.7077184826692273,0.17077184826692274,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Ludvig Åberg,0.16,0.275,0.163,0.52,0.04,-0.11,0.05,82,B,94,81,75,80,88,90,1.6752932378254664,0.16752932378254665,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Davis Thompson,0.17,0.311,0.169,0.46,0.09,0.14,-0.3,82,B,93,82,83,73,86,89,1.6612613490905055,0.16612613490905057,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Collin Morikawa,0.45,0.493,0.453,0.49,0.76,-0.05,-0.31,89,S,94,91,77,73,76,89,1.6341974774526031,0.16341974774526033,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Emiliano Grillo,0.18,0.265,0.181,0.18,0.3,-0.26,0.29,82,B,89,85,70,85,88,90,1.6144848923844823,0.16144848923844823,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Viktor Hovland,0.43,0.499,0.428,0.1,0.94,-0.13,-0.07,88,S,87,94,74,78,76,89,1.536193776681685,0.15361937766816852,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Ben Martin,-0.04,0.096,-0.04,-0.17,0.01,0.03,0.03,77,C,82,81,79,80,97,91,1.485769940788447,0.1485769940788447,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Nicolai Højgaard,0.31,0.364,0.309,0.21,0.6,-0.29,0.19,85,A,89,89,69,83,83,90,1.4389744826100808,0.1438974482610081,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Rasmus Højgaard,0.0,0.124,0.003,0.18,-0.1,-0.02,-0.05,78,C,89,79,78,78,96,91,1.304310009454963,0.13043100094549628,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Danny Walker,-0.05,0.159,-0.053,-0.04,-0.14,-0.02,0.24,77,C,85,78,78,84,94,89,1.2316766109885073,0.12316766109885074,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Lanto Griffin,0.04,0.137,0.035,-0.08,0.15,-0.14,0.1,79,C,84,83,74,81,95,92,1.1540805697336107,0.11540805697336108,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Kris Ventura,0.03,0.186,0.026,0.12,-0.04,-0.14,0.29,78,C,87,80,74,85,92,89,1.1472483709938173,0.11472483709938174,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Tony Finau,-0.07,0.161,-0.069,-0.09,-0.14,0.21,-0.12,76,C,84,78,85,77,94,89,1.116580451054623,0.11165804510546229,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Pierceson Coody,0.25,0.414,0.249,0.79,0.06,-0.01,-0.13,84,A,99,81,78,77,80,87,1.0733306720954572,0.10733306720954572,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Ryan Gerard,0.23,0.316,0.231,0.16,0.46,0.05,-0.31,83,A,88,87,80,73,85,89,1.0182320592957244,0.10182320592957245,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Min Woo Lee,-0.12,0.331,-0.123,0.01,-0.43,0.35,0.16,75,D,86,74,90,83,85,83,1.0092007883501761,0.10092007883501762,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Max McGreevy,0.13,0.234,0.129,0.4,0.07,-0.11,-0.08,81,B,92,81,75,78,90,91,0.9502844103211815,0.09502844103211816,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Noah Goodwin,-0.07,0.103,-0.068,0.0,-0.16,-0.02,0.08,76,C,85,78,78,81,97,90,0.9038757157352489,0.0903875715735249,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Keith Mitchell,0.21,0.31,0.207,0.53,0.17,-0.19,-0.01,83,B,95,83,72,79,86,90,0.854747260984243,0.08547472609842431,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Chad Ramey,-0.04,0.137,-0.038,0.01,-0.11,-0.09,0.19,77,C,86,79,75,83,95,90,0.8288510458381402,0.08288510458381403,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Sami Valimaki,0.17,0.444,0.173,-0.3,0.52,-0.16,0.55,82,B,80,88,73,90,79,85,0.8053279604071115,0.08053279604071116,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Brandt Snedeker,-0.04,0.348,-0.043,-0.31,-0.03,0.05,0.53,77,C,80,80,80,90,84,84,0.7125258374793655,0.07125258374793655,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Nate Lashley,0.02,0.124,0.016,-0.1,0.15,-0.04,-0.13,78,C,84,83,77,77,96,91,0.690719299157978,0.0690719299157978,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Thomas Detry,-0.02,0.16,-0.022,0.17,-0.16,-0.08,0.13,77,C,88,78,76,82,94,89,0.6405743639148185,0.06405743639148186,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Brice Garnett,-0.11,0.192,-0.107,-0.04,-0.27,0.06,0.18,75,C,85,77,81,83,92,87,0.5376258963350318,0.05376258963350318,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Justin Rose,0.04,0.227,0.042,-0.25,0.25,-0.07,0.16,79,C,81,84,76,82,90,89,0.5066928662130354,0.050669286621303544,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Sam Ryder,0.01,0.368,0.008,-0.2,0.04,-0.09,0.63,78,C,82,81,75,92,83,84,0.4391724934045803,0.043917249340458035,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Daniel Berger,0.29,0.351,0.286,0.41,0.46,-0.19,-0.15,85,A,93,87,72,76,83,90,0.3889261902269925,0.03889261902269925,wind_links_open,"Open Championship-style links: wind, firm, ground game"
