player_name,CF_SG_per_round,CF_Index
Thorbjørn Olesen,0.9845101522880807,2.4612753807202017
Taylor Moore,0.9767405101868949,2.4418512754672372
Cam Davis,0.9721354325319876,2.430338581329969
Trevor Cone,0.9519822676845182,2.3799556692112955
Byeong Hun An,0.9379085840890821,2.344771460222705
Mark Hubbard,0.9035888141906565,2.258972035476641
Matt Fitzpatrick,0.8136006775488817,2.034001693872204
Nate Lashley,0.8047873071760758,2.0119682679401896
Lucas Glover,0.8043873655146353,2.010968413786588
Matt McCarty,0.8008205602547701,2.002051400636925
Joe Highsmith,0.7883470312404148,1.970867578101037
Jason Day,0.7479766326255125,1.8699415815637812
Kevin Roy,0.7353995336663091,1.8384988341657724
Ludvig Åberg,0.6950710978861095,1.7376777447152738
Sam Burns,0.679434499101764,1.6985862477544098
Ben Martin,0.6467329116415039,1.6168322791037597
Nick Taylor,0.6170479034757588,1.5426197586893968
Chan Kim,0.6118967753290573,1.5297419383226432
Patrick Fishburn,0.5774810834136412,1.443702708534103
Sepp Straka,0.549193330708073,1.3729833267701823
Rickie Fowler,0.5396751694041693,1.3491879235104232
Camilo Villegas,0.5268719421736157,1.317179855434039
Chandler Phillips,0.5149517739072366,1.2873794347680914
Thriston Lawrence,0.504011940373102,1.260029850932755
Viktor Hovland,0.49527772220136657,1.2381943055034164
Davis Riley,0.4679015085472095,1.1697537713680237
Russell Henley,0.45237384517609086,1.1309346129402271
Vince Whaley,0.41928727742297395,1.0482181935574348
Peter Malnati,0.40522160111695493,1.0130540027923873
Gary Woodland,0.39440838504717224,0.9860209626179306
Nick Hardy,0.39229433453412316,0.9807358363353078
Eric Cole,0.3735478174448797,0.9338695436121992
Luke Clanton,0.3404927349654992,0.851231837413748
Ryan Gerard,0.31977361434501256,0.7994340358625314
Davis Thompson,0.26154802137712657,0.6538700534428163
Chris Gotterup,0.21852681926927683,0.546317048173192
Noah Goodwin,0.2152865555204472,0.538216388801118
Steven Fisk,0.11941526423786275,0.2985381605946569
Niklas Norgaard,0.09996221733739521,0.24990554334348802
Jeremy Paul,0.0938626309551771,0.23465657738794277
Collin Morikawa,0.08216695937300195,0.20541739843250484
Max McGreevy,0.024465506984128107,0.06116376746032026
Alejandro Tosti,-0.005838288339512655,-0.014595720848781635
Harry Higgs,-0.03177440237668865,-0.07943600594172162
Alex Smalley,-0.03944805369554816,-0.0986201342388704
Ryo Hisatsune,-0.05460750797876721,-0.13651876994691803
Antoine Rozner,-0.05679138566062436,-0.1419784641515609
Joel Dahmen,-0.15684705496949905,-0.3921176374237476
David Skinns,-0.18126961334632352,-0.45317403336580875
Kevin Yu,-0.18580198048264018,-0.4645049512066004
Mac Meissner,-0.19370285079219018,-0.4842571269804754
Jackson Suber,-0.20320444839050733,-0.5080111209762683
Thomas Detry,-0.22024026051349171,-0.5506006512837293
Sam Stevens,-0.22736537071674245,-0.5684134267918561
Jacob Bridgeman,-0.2449548863561387,-0.6123872158903467
Rafael Campos,-0.2597853181907029,-0.6494632954767572
Hayden Buckley,-0.305752037624096,-0.7643800940602399
Cristobal Del Solar,-0.35895870715361006,-0.8973967678840251
Kris Ventura,-0.4364693091476466,-1.0911732728691164
Si Woo Kim,-0.44614851261357685,-1.115371281533942
Matti Schmid,-0.4651485135577653,-1.1628712838944133
Austin Eckroat,-0.468627154515511,-1.1715678862887775
Tim Widing,-0.5023918292658734,-1.2559795731646834
Aaron Rai,-0.520566369921864,-1.30141592480466
Harris English,-0.5291664318624634,-1.3229160796561583
Keith Mitchell,-0.5347643695855678,-1.3369109239639196
Taylor Montgomery,-0.5740467563876825,-1.4351168909692062
Akshay Bhatia,-0.5935180238912825,-1.4837950597282061
Takumi Kanaya,-0.5961551239225001,-1.4903878098062504
Victor Perez,-0.6234303227607036,-1.558575806901759
Chad Ramey,-0.7008087980993779,-1.7520219952484446
Garrick Higgo,-0.7071667215631415,-1.7679168039078537
Tom Hoge,-0.7488883152647604,-1.8722207881619009
Justin Lower,-0.7904031162918846,-1.9760077907297116
Joseph Bramlett,-0.8037866153975138,-2.0094665384937844
Daniel Berger,-0.9344928320834432,-2.336232080208608
Corey Conners,-1.0013912764768762,-2.5034781911921904
Pierceson Coody,-1.0509421785019255,-2.6273554462548137
Denny McCarthy,-1.0545506706700942,-2.6363766766752357
Sami Valimaki,-1.067629367364124,-2.66907341841031
Seamus Power,-1.1372659491907195,-2.8431648729767987
Shane Lowry,-1.2068408888085214,-3.017102222021303
Nico Echavarria,-1.2146232008256304,-3.036558002064076
Kevin Velo,-1.2199768841246588,-3.049942210311647
Zac Blair,-1.2686789857732634,-3.1716974644331586
Greyson Sigg,-1.3140788254841813,-3.285197063710453
Ben Silverman,-1.314725642145293,-3.2868141053632325
Patton Kizzire,-1.3649671932297125,-3.412417983074281
Will Gordon,-1.368271952052471,-3.4206798801311775
Matthieu Pavon,-1.3883113668362719,-3.4707784170906795
Karl Vilips,-1.4074586945005765,-3.518646736251441
Luke List,-1.518309339930193,-3.7957733498254824
Lee Hodges,-1.5767419363479378,-3.941854840869844
Adam Hadwin,-1.6813532015674277,-4.203383003918569
Paul Peterson,-1.7115938610596726,-4.278984652649181
Brandt Snedeker,-1.8437823748938862,-4.609455937234715
Matthew Riedel,-1.8626713495964802,-4.6566783739912
Emiliano Grillo,-2.0217746819386875,-5.054436704846719
Mason Andersen,-2.0829938341149368,-5.207484585287342
Michael Thorbjornsen,-2.229777613985052,-5.57444403496263
Rikuya Hoshino,-2.2324013054537324,-5.581003263634331
Quade Cummins,-2.434560671783885,-6.086401679459711
John Pak,-2.4459948293977876,-6.1149870734944685
Max Homa,-2.5116884234709493,-6.279221058677373
Rico Hoey,-2.5160248495584963,-6.29006212389624
Christiaan Bezuidenhout,-2.627054464781584,-6.56763616195396
Kaito Onishi,-2.642845073391374,-6.6071126834784355
Sam Ryder,-2.7358385468004847,-6.839596367001211
David Lipsky,-2.80757737613707,-7.0189434403426745
Taylor Dickson,-2.9198862641021566,-7.299715660255391
Doug Ghim,-2.959872452961081,-7.399681132402701
Sungjae Im,-3.082390946421219,-7.705977366053047
Ben Kohles,-3.097151486528318,-7.742878716320794
Brian Campbell,-3.1096055441516954,-7.774013860379238
Brice Garnett,-3.286096757015983,-8.215241892539957
Adam Svensson,-3.746302801151016,-9.36575700287754
Andrew Putnam,-3.828189962780867,-9.570474906952168
Braden Thornberry,-3.8925053999078862,-9.731263499769716
Matteo Manassero,-3.922104318674916,-9.80526079668729
Isaiah Salinda,-3.956238620307823,-9.890596550769557
Will Chandler,-4.087295120071434,-10.218237800178583
Zach Johnson,-4.21591091882365,-10.539777297059125
Henrik Norlander,-4.388232948656016,-10.97058237164004
William Mouw,-4.638104288644262,-11.595260721610654
Thomas Rosenmueller,-4.7091717407951235,-11.772929351987809
Carson Young,-5.181896907733904,-12.95474226933476
Frankie Capan,-5.222590680391577,-13.056476700978942
Nick Dunlap,-5.308036800973831,-13.270092002434575
Ryan Palmer,-6.986333883475614,-17.465834708689034
